Titulo,Type,SJR (Cuartil),H_Index,Link
Free Neuropathology,journal,Q3,7,https://www.scimagojr.com/journalsearch.php?q=21101087875&tip=sid&clean=0
Gastroenterology Insights,journal,Q3,10,https://www.scimagojr.com/journalsearch.php?q=19700200711&tip=sid&clean=0
Hemodialysis International,journal,Q3,55,https://www.scimagojr.com/journalsearch.php?q=130123&tip=sid&clean=0
HRB Open Research,journal,Q2,11,https://www.scimagojr.com/journalsearch.php?q=21101137854&tip=sid&clean=0
International Journal of Intangible Heritage,journal,Q1,11,https://www.scimagojr.com/journalsearch.php?q=20500195081&tip=sid&clean=0
Journal of East Asian Studies,journal,Q2,28,https://www.scimagojr.com/journalsearch.php?q=5800169167&tip=sid&clean=0
Journal of Heat Transfer,journal,Q2,141,https://www.scimagojr.com/journalsearch.php?q=20968&tip=sid&clean=0
Journal of Herbal Medicine,journal,Q2,36,https://www.scimagojr.com/journalsearch.php?q=19900193983&tip=sid&clean=0
Journal of Political Science Education,journal,Q2,30,https://www.scimagojr.com/journalsearch.php?q=12100156092&tip=sid&clean=0
Medical Dosimetry,journal,Q3,46,https://www.scimagojr.com/journalsearch.php?q=17270&tip=sid&clean=0
North American Journal of Aquaculture,journal,Q3,49,https://www.scimagojr.com/journalsearch.php?q=17719&tip=sid&clean=0
Plant Molecular Biology Reporter,journal,Q2,69,https://www.scimagojr.com/journalsearch.php?q=14227&tip=sid&clean=0
Practice,journal,Q2,25,https://www.scimagojr.com/journalsearch.php?q=5700176240&tip=sid&clean=0
SPE Production and Operations,journal,Q2,66,https://www.scimagojr.com/journalsearch.php?q=11000153739&tip=sid&clean=0
Transgender Studies Quarterly,journal,Q1,12,https://www.scimagojr.com/journalsearch.php?q=21100979259&tip=sid&clean=0
ACM Inroads,trade journal,Q2,29,https://www.scimagojr.com/journalsearch.php?q=19700201136&tip=sid&clean=0
Biological Cybernetics,journal,Q2,104,https://www.scimagojr.com/journalsearch.php?q=17953&tip=sid&clean=0
Biophysics and physicobiology,journal,Q3,22,https://www.scimagojr.com/journalsearch.php?q=21101100717&tip=sid&clean=0
Clinica e Investigacion en Arteriosclerosis,journal,Q3,21,https://www.scimagojr.com/journalsearch.php?q=7200153133&tip=sid&clean=0
Colloid and Polymer Science,journal,Q2,95,https://www.scimagojr.com/journalsearch.php?q=25828&tip=sid&clean=0
Community Ecology,journal,Q2,37,https://www.scimagojr.com/journalsearch.php?q=17465&tip=sid&clean=0
Comparative Studies in Society and History,journal,Q1,62,https://www.scimagojr.com/journalsearch.php?q=17670&tip=sid&clean=0
Counseling Outcome Research and Evaluation,journal,Q3,13,https://www.scimagojr.com/journalsearch.php?q=21100456834&tip=sid&clean=0
Engineering Economics,journal,Q2,39,https://www.scimagojr.com/journalsearch.php?q=19200157025&tip=sid&clean=0
EPJ Photovoltaics,journal,Q2,16,https://www.scimagojr.com/journalsearch.php?q=21100897514&tip=sid&clean=0
Infectious Agents and Cancer,journal,Q3,47,https://www.scimagojr.com/journalsearch.php?q=5700191215&tip=sid&clean=0
International Journal of Web and Grid Services,journal,Q3,28,https://www.scimagojr.com/journalsearch.php?q=6700153282&tip=sid&clean=0
Journal of Adhesion Science and Technology,journal,Q2,83,https://www.scimagojr.com/journalsearch.php?q=13664&tip=sid&clean=0
Journal of Biological Research,journal,Q2,25,https://www.scimagojr.com/journalsearch.php?q=11900154330&tip=sid&clean=0
Journal of Coatings Technology Research,journal,Q2,53,https://www.scimagojr.com/journalsearch.php?q=12725&tip=sid&clean=0
Journal of Cold Regions Engineering - ASCE,journal,Q2,35,https://www.scimagojr.com/journalsearch.php?q=16258&tip=sid&clean=0
Journal of Electrical and Computer Engineering,journal,Q2,37,https://www.scimagojr.com/journalsearch.php?q=21100197510&tip=sid&clean=0
Journal of Hand Surgery Global Online,journal,Q2,8,https://www.scimagojr.com/journalsearch.php?q=21100904983&tip=sid&clean=0
Journal of Individual Differences,journal,Q3,46,https://www.scimagojr.com/journalsearch.php?q=11700154377&tip=sid&clean=0
Journal of Micromanufacturing,journal,Q2,6,https://www.scimagojr.com/journalsearch.php?q=21101156859&tip=sid&clean=0
Norwegian Archaeological Review,journal,Q1,30,https://www.scimagojr.com/journalsearch.php?q=99172&tip=sid&clean=0
"Photobiomodulation, Photomedicine, and Laser Surgery",journal,Q3,26,https://www.scimagojr.com/journalsearch.php?q=21100900063&tip=sid&clean=0
Revista de Educacion,journal,Q2,37,https://www.scimagojr.com/journalsearch.php?q=19300157017&tip=sid&clean=0
Rocky Mountain Journal of Mathematics,journal,Q2,46,https://www.scimagojr.com/journalsearch.php?q=26373&tip=sid&clean=0
Science and Technology for Energy Transition (STET),journal,Q2,74,https://www.scimagojr.com/journalsearch.php?q=21101080188&tip=sid&clean=0
Stochastics,journal,Q3,28,https://www.scimagojr.com/journalsearch.php?q=39594&tip=sid&clean=0
Strategies in Trauma and Limb Reconstruction,journal,Q3,32,https://www.scimagojr.com/journalsearch.php?q=6100153022&tip=sid&clean=0
Taiwanese Journal of Mathematics,journal,Q2,52,https://www.scimagojr.com/journalsearch.php?q=57383&tip=sid&clean=0
Avances de Investigacion en Educacion Matematica,journal,Q2,7,https://www.scimagojr.com/journalsearch.php?q=21100904317&tip=sid&clean=0
Chemistry Letters,journal,Q2,124,https://www.scimagojr.com/journalsearch.php?q=23418&tip=sid&clean=0
Complex Analysis and its Synergies,journal,Q2,5,https://www.scimagojr.com/journalsearch.php?q=21101089146&tip=sid&clean=0
EAI Endorsed Transactions on Scalable Information Systems,journal,Q2,15,https://www.scimagojr.com/journalsearch.php?q=21101072199&tip=sid&clean=0
Foreign Affairs,journal,Q2,108,https://www.scimagojr.com/journalsearch.php?q=24664&tip=sid&clean=0
IEEJ Journal of Industry Applications,journal,Q2,26,https://www.scimagojr.com/journalsearch.php?q=21100810612&tip=sid&clean=0
International Arab Journal of Information Technology,journal,Q2,35,https://www.scimagojr.com/journalsearch.php?q=19500157821&tip=sid&clean=0
International Journal of Agronomy,journal,Q2,28,https://www.scimagojr.com/journalsearch.php?q=21100370443&tip=sid&clean=0
International Journal of Computational Fluid Dynamics,journal,Q2,48,https://www.scimagojr.com/journalsearch.php?q=14393&tip=sid&clean=0
International Journal of Forensic Mental Health,journal,Q3,43,https://www.scimagojr.com/journalsearch.php?q=21100208035&tip=sid&clean=0
Journal of English for Research Publication Purposes,journal,Q1,4,https://www.scimagojr.com/journalsearch.php?q=21101175745&tip=sid&clean=0
Journal of Molecular Graphics and Modelling,journal,Q2,84,https://www.scimagojr.com/journalsearch.php?q=24621&tip=sid&clean=0
Journal of the History of Economic Thought,journal,Q1,23,https://www.scimagojr.com/journalsearch.php?q=57782&tip=sid&clean=0
Journal of the Korean Statistical Society,journal,Q3,27,https://www.scimagojr.com/journalsearch.php?q=11300153404&tip=sid&clean=0
Nonlinear Engineering,journal,Q2,30,https://www.scimagojr.com/journalsearch.php?q=21100465416&tip=sid&clean=0
Special Paper of the Geological Society of America,book series,Q2,114,https://www.scimagojr.com/journalsearch.php?q=19500157214&tip=sid&clean=0
Transfusion and Apheresis Science,journal,Q3,64,https://www.scimagojr.com/journalsearch.php?q=26074&tip=sid&clean=0
Vacunas,journal,Q3,13,https://www.scimagojr.com/journalsearch.php?q=9800153138&tip=sid&clean=0
ACME,journal,Q2,44,https://www.scimagojr.com/journalsearch.php?q=14979&tip=sid&clean=0
Advances in Accounting,journal,Q3,44,https://www.scimagojr.com/journalsearch.php?q=4000152110&tip=sid&clean=0
Advances in Distributed Computing and Artificial Intelligence Journal,journal,Q3,6,https://www.scimagojr.com/journalsearch.php?q=21101092539&tip=sid&clean=0
Anthropology and Humanism,journal,Q1,20,https://www.scimagojr.com/journalsearch.php?q=19700201330&tip=sid&clean=0
Apeiron,journal,Q1,7,https://www.scimagojr.com/journalsearch.php?q=21100942931&tip=sid&clean=0
Conference Record - IAS Annual Meeting (IEEE Industry Applications Society),conference and proceedings,No disponible,87,https://www.scimagojr.com/journalsearch.php?q=17898&tip=sid&clean=0
Critical Criminology,journal,Q1,37,https://www.scimagojr.com/journalsearch.php?q=145137&tip=sid&clean=0
Herpetozoa,journal,Q2,9,https://www.scimagojr.com/journalsearch.php?q=21100978582&tip=sid&clean=0
Historical Materialism,journal,Q1,37,https://www.scimagojr.com/journalsearch.php?q=5600153391&tip=sid&clean=0
Innovation and Development,journal,Q1,18,https://www.scimagojr.com/journalsearch.php?q=21100782393&tip=sid&clean=0
International Journal of Game Theory,journal,Q2,48,https://www.scimagojr.com/journalsearch.php?q=23241&tip=sid&clean=0
International Journal of Pediatrics and Adolescent Medicine,journal,Q2,14,https://www.scimagojr.com/journalsearch.php?q=21100942421&tip=sid&clean=0
Iranian Journal of Science and Technology - Transactions of Civil Engineering,journal,Q2,27,https://www.scimagojr.com/journalsearch.php?q=21100217216&tip=sid&clean=0
Journal of Discrete Mathematical Sciences and Cryptography,journal,Q3,24,https://www.scimagojr.com/journalsearch.php?q=19700186892&tip=sid&clean=0
Journal of Energetic Materials,journal,Q2,40,https://www.scimagojr.com/journalsearch.php?q=4700151913&tip=sid&clean=0
Journal of Engineering (United Kingdom),journal,Q2,34,https://www.scimagojr.com/journalsearch.php?q=21100463939&tip=sid&clean=0
Journal of International Education in Business,journal,Q2,18,https://www.scimagojr.com/journalsearch.php?q=21100446217&tip=sid&clean=0
Journal of Laser Applications,journal,Q3,64,https://www.scimagojr.com/journalsearch.php?q=12160&tip=sid&clean=0
Journal of Psychiatric Practice,journal,Q3,61,https://www.scimagojr.com/journalsearch.php?q=16808&tip=sid&clean=0
Journal of the Philosophy of Sport,journal,Q2,33,https://www.scimagojr.com/journalsearch.php?q=4700151608&tip=sid&clean=0
Molecular and Biochemical Parasitology,journal,Q3,121,https://www.scimagojr.com/journalsearch.php?q=14133&tip=sid&clean=0
Prehled Vyzkumu,journal,Q1,5,https://www.scimagojr.com/journalsearch.php?q=21100857772&tip=sid&clean=0
Sleep and Biological Rhythms,journal,Q3,38,https://www.scimagojr.com/journalsearch.php?q=130153&tip=sid&clean=0
Translational Cancer Research,journal,Q3,39,https://www.scimagojr.com/journalsearch.php?q=21100455430&tip=sid&clean=0
Zhongguo Shiyou Daxue Xuebao (Ziran Kexue Ban)/Journal of China University of Petroleum (Edition of Natural Science),journal,Q2,33,https://www.scimagojr.com/journalsearch.php?q=4400151708&tip=sid&clean=0
Zoological Letters,journal,Q2,19,https://www.scimagojr.com/journalsearch.php?q=21100850519&tip=sid&clean=0
Acta Chiropterologica,journal,Q2,44,https://www.scimagojr.com/journalsearch.php?q=24079&tip=sid&clean=0
Advances in Geosciences,journal,Q2,48,https://www.scimagojr.com/journalsearch.php?q=4400151402&tip=sid&clean=0
American Journal of Medical Quality,journal,Q3,61,https://www.scimagojr.com/journalsearch.php?q=27061&tip=sid&clean=0
Annals of Surgical Treatment and Research,journal,Q2,34,https://www.scimagojr.com/journalsearch.php?q=21100326082&tip=sid&clean=0
Apunts. Educacion Fisica y Deportes,journal,Q1,16,https://www.scimagojr.com/journalsearch.php?q=21100316465&tip=sid&clean=0
Atlantic Journal of Communication,journal,Q2,21,https://www.scimagojr.com/journalsearch.php?q=19700187617&tip=sid&clean=0
Blood Science,journal,Q3,8,https://www.scimagojr.com/journalsearch.php?q=21101092526&tip=sid&clean=0
Computer Methods in Biomechanics and Biomedical Engineering,journal,Q3,67,https://www.scimagojr.com/journalsearch.php?q=17954&tip=sid&clean=0
Consulting Psychology Journal,journal,Q3,53,https://www.scimagojr.com/journalsearch.php?q=70451&tip=sid&clean=0
Contemporary European History,journal,Q1,32,https://www.scimagojr.com/journalsearch.php?q=20895&tip=sid&clean=0
Evolutionary Behavioral Sciences,journal,Q3,26,https://www.scimagojr.com/journalsearch.php?q=21100451649&tip=sid&clean=0
Evolutionary Bioinformatics,journal,Q2,38,https://www.scimagojr.com/journalsearch.php?q=11200153571&tip=sid&clean=0
Foundations and Trends in Electric Energy Systems,journal,Q2,2,https://www.scimagojr.com/journalsearch.php?q=21101029746&tip=sid&clean=0
Geografisk Tidsskrift,journal,Q2,31,https://www.scimagojr.com/journalsearch.php?q=28629&tip=sid&clean=0
Issues in Accounting Education,journal,Q2,32,https://www.scimagojr.com/journalsearch.php?q=19900193208&tip=sid&clean=0
"Journal of Human Rights, Culture and Legal System",journal,Q1,9,https://www.scimagojr.com/journalsearch.php?q=21101146405&tip=sid&clean=0
Journal of Medical and Biological Engineering,journal,Q3,46,https://www.scimagojr.com/journalsearch.php?q=15949&tip=sid&clean=0
Journal of Orthodontics,journal,Q2,55,https://www.scimagojr.com/journalsearch.php?q=26170&tip=sid&clean=0
Materials Science and Technology,journal,Q2,108,https://www.scimagojr.com/journalsearch.php?q=17815&tip=sid&clean=0
Netherlands Journal of Medicine,journal,Q3,65,https://www.scimagojr.com/journalsearch.php?q=26691&tip=sid&clean=0
Occupational Therapy International,journal,Q2,45,https://www.scimagojr.com/journalsearch.php?q=29854&tip=sid&clean=0
Primate Conservation,journal,Q2,18,https://www.scimagojr.com/journalsearch.php?q=19700169404&tip=sid&clean=0
Russian Mathematical Surveys,journal,Q2,45,https://www.scimagojr.com/journalsearch.php?q=26395&tip=sid&clean=0
Veterinary Clinical Pathology,journal,Q2,62,https://www.scimagojr.com/journalsearch.php?q=19504&tip=sid&clean=0
World Journal of Emergency Medicine,journal,Q2,17,https://www.scimagojr.com/journalsearch.php?q=21100853891&tip=sid&clean=0
Access Microbiology,journal,Q3,2,https://www.scimagojr.com/journalsearch.php?q=21101125145&tip=sid&clean=0
ACM SIGBED Review,journal,Q2,11,https://www.scimagojr.com/journalsearch.php?q=21100900336&tip=sid&clean=0
American Journal of Sexuality Education,journal,Q2,26,https://www.scimagojr.com/journalsearch.php?q=4700152835&tip=sid&clean=0
Annals of Carnegie Museum,journal,Q2,30,https://www.scimagojr.com/journalsearch.php?q=20076&tip=sid&clean=0
Canadian Journal of Dental Hygiene,journal,Q2,9,https://www.scimagojr.com/journalsearch.php?q=21100428109&tip=sid&clean=0
Central European Journal of Urology,journal,Q3,30,https://www.scimagojr.com/journalsearch.php?q=19900192570&tip=sid&clean=0
Chaos Theory and Applications,journal,Q1,11,https://www.scimagojr.com/journalsearch.php?q=21101092536&tip=sid&clean=0
Dementia e Neuropsychologia,journal,Q3,35,https://www.scimagojr.com/journalsearch.php?q=19700172802&tip=sid&clean=0
East Asian Journal on Applied Mathematics,journal,Q3,22,https://www.scimagojr.com/journalsearch.php?q=21100287116&tip=sid&clean=0
Epidemiologia e prevenzione,journal,Q3,38,https://www.scimagojr.com/journalsearch.php?q=13139&tip=sid&clean=0
Functional Analysis and its Applications,journal,Q3,30,https://www.scimagojr.com/journalsearch.php?q=26511&tip=sid&clean=0
Geologica Carpathica,journal,Q2,47,https://www.scimagojr.com/journalsearch.php?q=26349&tip=sid&clean=0
Global Studies Quarterly,journal,Q2,6,https://www.scimagojr.com/journalsearch.php?q=21101162821&tip=sid&clean=0
International Agrophysics,journal,Q2,49,https://www.scimagojr.com/journalsearch.php?q=31877&tip=sid&clean=0
International Journal of Networked and Distributed Computing,journal,Q3,11,https://www.scimagojr.com/journalsearch.php?q=21100812152&tip=sid&clean=0
J. AGRICULTURAL METEOROLOGY,journal,Q2,25,https://www.scimagojr.com/journalsearch.php?q=30706&tip=sid&clean=0
Journal of Business Analytics,journal,Q2,9,https://www.scimagojr.com/journalsearch.php?q=21101019334&tip=sid&clean=0
Journal of Craniofacial Surgery,journal,Q2,87,https://www.scimagojr.com/journalsearch.php?q=21673&tip=sid&clean=0
Journal of Dispersion Science and Technology,journal,Q2,67,https://www.scimagojr.com/journalsearch.php?q=26952&tip=sid&clean=0
Journal of Environmental Science and Health - Part A Toxic/Hazardous Substances and Environmental Engineering,journal,Q3,87,https://www.scimagojr.com/journalsearch.php?q=25130&tip=sid&clean=0
Journal of Healthcare Management,journal,Q2,54,https://www.scimagojr.com/journalsearch.php?q=14167&tip=sid&clean=0
Journal of Laparoendoscopic and Advanced Surgical Techniques - Part A,journal,Q2,70,https://www.scimagojr.com/journalsearch.php?q=21701&tip=sid&clean=0
Mires and Peat,journal,Q2,22,https://www.scimagojr.com/journalsearch.php?q=21100400829&tip=sid&clean=0
Mountain Research and Development,journal,Q2,69,https://www.scimagojr.com/journalsearch.php?q=23259&tip=sid&clean=0
Oral health & preventive dentistry,journal,Q2,42,https://www.scimagojr.com/journalsearch.php?q=22817&tip=sid&clean=0
Preventive Nutrition and Food Science,journal,Q2,37,https://www.scimagojr.com/journalsearch.php?q=21100208077&tip=sid&clean=0
Real-Time Systems,journal,Q2,60,https://www.scimagojr.com/journalsearch.php?q=12443&tip=sid&clean=0
Sprawozdania Archeologiczne,journal,Q1,8,https://www.scimagojr.com/journalsearch.php?q=21100818506&tip=sid&clean=0
Taiwan Journal of Ophthalmology,journal,Q3,20,https://www.scimagojr.com/journalsearch.php?q=21100243805&tip=sid&clean=0
Androgens,journal,Q3,7,https://www.scimagojr.com/journalsearch.php?q=21101096403&tip=sid&clean=0
Frattura ed Integrita Strutturale,journal,Q2,28,https://www.scimagojr.com/journalsearch.php?q=21100209322&tip=sid&clean=0
Human Rights Law Review,journal,Q1,43,https://www.scimagojr.com/journalsearch.php?q=130127&tip=sid&clean=0
Indian Dermatology Online Journal,journal,Q3,19,https://www.scimagojr.com/journalsearch.php?q=21101071824&tip=sid&clean=0
International Journal of Automotive Technology,journal,Q2,53,https://www.scimagojr.com/journalsearch.php?q=4700152264&tip=sid&clean=0
Journal of Information Systems Education,journal,Q2,27,https://www.scimagojr.com/journalsearch.php?q=21100211745&tip=sid&clean=0
Journal of Manipulative and Physiological Therapeutics,journal,Q1,83,https://www.scimagojr.com/journalsearch.php?q=35303&tip=sid&clean=0
Language Sciences,journal,Q1,51,https://www.scimagojr.com/journalsearch.php?q=23166&tip=sid&clean=0
Limnetica,journal,Q2,39,https://www.scimagojr.com/journalsearch.php?q=144767&tip=sid&clean=0
Monoclonal Antibodies in Immunodiagnosis and Immunotherapy,journal,Q3,42,https://www.scimagojr.com/journalsearch.php?q=21100238667&tip=sid&clean=0
Neuroethics,journal,Q1,39,https://www.scimagojr.com/journalsearch.php?q=14300154705&tip=sid&clean=0
Polymers and Polymer Composites,journal,Q2,36,https://www.scimagojr.com/journalsearch.php?q=14466&tip=sid&clean=0
Sign Systems Studies,journal,Q1,11,https://www.scimagojr.com/journalsearch.php?q=17700155437&tip=sid&clean=0
Simulation,journal,Q2,56,https://www.scimagojr.com/journalsearch.php?q=14452&tip=sid&clean=0
Therapeutic Apheresis and Dialysis,journal,Q3,60,https://www.scimagojr.com/journalsearch.php?q=110245&tip=sid&clean=0
AJP Reports,journal,Q2,14,https://www.scimagojr.com/journalsearch.php?q=21100348516&tip=sid&clean=0
Anatolian Studies,journal,Q1,25,https://www.scimagojr.com/journalsearch.php?q=6700153261&tip=sid&clean=0
Animal Biodiversity and Conservation,journal,Q2,39,https://www.scimagojr.com/journalsearch.php?q=24581&tip=sid&clean=0
Astronomische Nachrichten,journal,Q3,61,https://www.scimagojr.com/journalsearch.php?q=26748&tip=sid&clean=0
Bulletin of Marine Science,journal,Q3,86,https://www.scimagojr.com/journalsearch.php?q=26788&tip=sid&clean=0
City and Society,journal,Q2,32,https://www.scimagojr.com/journalsearch.php?q=85530&tip=sid&clean=0
Critical Inquiry,journal,Q1,78,https://www.scimagojr.com/journalsearch.php?q=24846&tip=sid&clean=0
European Journal of Physiotherapy,journal,Q2,14,https://www.scimagojr.com/journalsearch.php?q=21100235634&tip=sid&clean=0
GERMS,journal,Q3,18,https://www.scimagojr.com/journalsearch.php?q=21100267980&tip=sid&clean=0
International Journal of Data and Network Science,journal,Q2,28,https://www.scimagojr.com/journalsearch.php?q=21100970247&tip=sid&clean=0
Journal of Education for Library and Information Science,journal,Q2,11,https://www.scimagojr.com/journalsearch.php?q=21100829944&tip=sid&clean=0
Journal of Knot Theory and its Ramifications,journal,Q3,38,https://www.scimagojr.com/journalsearch.php?q=23921&tip=sid&clean=0
Journal of Modern African Studies,journal,Q2,66,https://www.scimagojr.com/journalsearch.php?q=20318&tip=sid&clean=0
Journal of the ASABE,journal,Q2,115,https://www.scimagojr.com/journalsearch.php?q=21101088827&tip=sid&clean=0
Journal on Mathematics Education,journal,Q2,28,https://www.scimagojr.com/journalsearch.php?q=21100898027&tip=sid&clean=0
Mathematical Notes,journal,Q2,29,https://www.scimagojr.com/journalsearch.php?q=96933&tip=sid&clean=0
Measurement and Control,journal,Q3,32,https://www.scimagojr.com/journalsearch.php?q=15502&tip=sid&clean=0
Network Science,journal,Q2,24,https://www.scimagojr.com/journalsearch.php?q=21100464772&tip=sid&clean=0
Progress in Physics of Metals,journal,Q2,15,https://www.scimagojr.com/journalsearch.php?q=21100438188&tip=sid&clean=0
Psychiatria Danubina,journal,Q3,49,https://www.scimagojr.com/journalsearch.php?q=18670&tip=sid&clean=0
Revista de Gestao,journal,Q2,17,https://www.scimagojr.com/journalsearch.php?q=21101071063&tip=sid&clean=0
Social Work Research,journal,Q2,60,https://www.scimagojr.com/journalsearch.php?q=15016&tip=sid&clean=0
Toxicological Research,journal,Q3,42,https://www.scimagojr.com/journalsearch.php?q=21100197929&tip=sid&clean=0
Advances in Decision Sciences,journal,Q2,20,https://www.scimagojr.com/journalsearch.php?q=19900193531&tip=sid&clean=0
Aircraft Engineering and Aerospace Technology,journal,Q2,38,https://www.scimagojr.com/journalsearch.php?q=12633&tip=sid&clean=0
Brain-Computer Interfaces,journal,Q2,22,https://www.scimagojr.com/journalsearch.php?q=21100886426&tip=sid&clean=0
Dolomites Research Notes on Approximation,journal,Q2,13,https://www.scimagojr.com/journalsearch.php?q=21100285499&tip=sid&clean=0
European Journal of Dermatology,journal,Q3,82,https://www.scimagojr.com/journalsearch.php?q=24793&tip=sid&clean=0
Fashion Theory - Journal of Dress Body and Culture,journal,Q1,34,https://www.scimagojr.com/journalsearch.php?q=5700168304&tip=sid&clean=0
Geographica Helvetica,journal,Q1,25,https://www.scimagojr.com/journalsearch.php?q=28670&tip=sid&clean=0
Hepatoma Research,journal,Q3,14,https://www.scimagojr.com/journalsearch.php?q=21101058282&tip=sid&clean=0
IEEE Transactions on Plasma Science,journal,Q2,119,https://www.scimagojr.com/journalsearch.php?q=28031&tip=sid&clean=0
Indian Pediatrics,journal,Q2,62,https://www.scimagojr.com/journalsearch.php?q=15030&tip=sid&clean=0
International Journal of Hepatology,journal,Q3,20,https://www.scimagojr.com/journalsearch.php?q=21100434603&tip=sid&clean=0
International Journal of Mobile and Blended Learning,journal,Q2,21,https://www.scimagojr.com/journalsearch.php?q=21100201516&tip=sid&clean=0
"International Journal of Politics, Culture and Society",journal,Q2,33,https://www.scimagojr.com/journalsearch.php?q=25798&tip=sid&clean=0
International Journal of Surgical Oncology,journal,Q2,30,https://www.scimagojr.com/journalsearch.php?q=21100215177&tip=sid&clean=0
Journal of Cognitive Psychotherapy,journal,Q3,57,https://www.scimagojr.com/journalsearch.php?q=15427&tip=sid&clean=0
Journal of Medicine and Life,journal,Q3,51,https://www.scimagojr.com/journalsearch.php?q=19600166307&tip=sid&clean=0
Journal of Sport for Development,journal,Q2,8,https://www.scimagojr.com/journalsearch.php?q=21101021142&tip=sid&clean=0
Kotuitui,journal,Q2,18,https://www.scimagojr.com/journalsearch.php?q=17600155136&tip=sid&clean=0
Kragujevac Journal of Mathematics,journal,Q2,21,https://www.scimagojr.com/journalsearch.php?q=21100199782&tip=sid&clean=0
"Law, Probability and Risk",journal,Q1,18,https://www.scimagojr.com/journalsearch.php?q=21100195305&tip=sid&clean=0
Metrologia,journal,Q2,88,https://www.scimagojr.com/journalsearch.php?q=15443&tip=sid&clean=0
Middle East Fertility Society Journal,journal,Q3,26,https://www.scimagojr.com/journalsearch.php?q=27667&tip=sid&clean=0
Open Medicine (Poland),journal,Q3,27,https://www.scimagojr.com/journalsearch.php?q=21100403900&tip=sid&clean=0
Phycological Research,journal,Q2,51,https://www.scimagojr.com/journalsearch.php?q=21100247800&tip=sid&clean=0
Proceedings of the Institution of Mechanical Engineers Part M: Journal of Engineering for the Maritime Environment,journal,Q2,44,https://www.scimagojr.com/journalsearch.php?q=25596&tip=sid&clean=0
Quality Assurance in Education,journal,Q2,59,https://www.scimagojr.com/journalsearch.php?q=144658&tip=sid&clean=0
Remote Sensing in Earth Systems Sciences,journal,Q2,13,https://www.scimagojr.com/journalsearch.php?q=21101107953&tip=sid&clean=0
Scientia Geologica Sinica,journal,Q2,46,https://www.scimagojr.com/journalsearch.php?q=25740&tip=sid&clean=0
"Tapuya: Latin American Science, Technology and Society",journal,Q1,11,https://www.scimagojr.com/journalsearch.php?q=21100908534&tip=sid&clean=0
Anesthesia and Pain Medicine,journal,Q2,10,https://www.scimagojr.com/journalsearch.php?q=21101166816&tip=sid&clean=0
British Journal of Occupational Therapy,journal,Q2,54,https://www.scimagojr.com/journalsearch.php?q=28682&tip=sid&clean=0
Combustion Science and Technology,journal,Q2,88,https://www.scimagojr.com/journalsearch.php?q=26881&tip=sid&clean=0
Communications in Soil Science and Plant Analysis,journal,Q2,80,https://www.scimagojr.com/journalsearch.php?q=31671&tip=sid&clean=0
Critical Military Studies,journal,Q1,21,https://www.scimagojr.com/journalsearch.php?q=21100840031&tip=sid&clean=0
ECS Journal of Solid State Science and Technology,journal,Q3,68,https://www.scimagojr.com/journalsearch.php?q=21100266597&tip=sid&clean=0
Educational Theory,journal,Q2,50,https://www.scimagojr.com/journalsearch.php?q=28821&tip=sid&clean=0
Ergebnisse der Physiologie Biologischen Chemie und Experimentellen Pharmakologie,journal,Q3,12,https://www.scimagojr.com/journalsearch.php?q=83645&tip=sid&clean=0
European Journal of Integrative Medicine,journal,Q2,37,https://www.scimagojr.com/journalsearch.php?q=17300154952&tip=sid&clean=0
European Spatial Research and Policy,journal,Q2,15,https://www.scimagojr.com/journalsearch.php?q=19900195042&tip=sid&clean=0
Geophysical and Astrophysical Fluid Dynamics,journal,Q2,39,https://www.scimagojr.com/journalsearch.php?q=27946&tip=sid&clean=0
GEUS Bulletin,journal,Q2,34,https://www.scimagojr.com/journalsearch.php?q=21101088902&tip=sid&clean=0
Global Social Welfare,journal,Q2,17,https://www.scimagojr.com/journalsearch.php?q=21100902532&tip=sid&clean=0
Hand Clinics,journal,Q2,66,https://www.scimagojr.com/journalsearch.php?q=29770&tip=sid&clean=0
International Journal of Bio-Inspired Computation,journal,Q2,44,https://www.scimagojr.com/journalsearch.php?q=21100203119&tip=sid&clean=0
International Review of Public Administration,journal,Q2,23,https://www.scimagojr.com/journalsearch.php?q=11700154729&tip=sid&clean=0
Journal of Central Banking Theory and Practice,journal,Q2,15,https://www.scimagojr.com/journalsearch.php?q=21100427221&tip=sid&clean=0
Journal of International Accounting Research,journal,Q2,31,https://www.scimagojr.com/journalsearch.php?q=19900193251&tip=sid&clean=0
Journal of Nanoparticle Research,journal,Q2,142,https://www.scimagojr.com/journalsearch.php?q=28545&tip=sid&clean=0
Journal of Occupational and Environmental Hygiene,journal,Q3,84,https://www.scimagojr.com/journalsearch.php?q=29278&tip=sid&clean=0
Medical Molecular Morphology,journal,Q3,47,https://www.scimagojr.com/journalsearch.php?q=3500148012&tip=sid&clean=0
New Testament Studies,journal,Q1,25,https://www.scimagojr.com/journalsearch.php?q=16200154712&tip=sid&clean=0
New Zealand Medical Journal,journal,Q3,58,https://www.scimagojr.com/journalsearch.php?q=15876&tip=sid&clean=0
"Organization, Technology and Management in Construction",journal,Q2,10,https://www.scimagojr.com/journalsearch.php?q=21101039062&tip=sid&clean=0
Papeles del Psicologo,journal,Q3,27,https://www.scimagojr.com/journalsearch.php?q=5300152520&tip=sid&clean=0
Urban History,journal,Q1,26,https://www.scimagojr.com/journalsearch.php?q=22455&tip=sid&clean=0
